,model,num_cores,WER,sample_id,engine,run_id,time,text_len,audio_len
0,QuartzNet15x5Base-En,?,0.16216216216216217,1701-141760-0000,NeMo,1,0.5867041386663914,233,16.56
1,QuartzNet15x5Base-En,?,0.16216216216216217,1701-141760-0000,NeMo,2,0.4662118870764971,233,16.56
2,QuartzNet15x5Base-En,?,0.16216216216216217,1701-141760-0000,NeMo,3,0.4645703602582216,233,16.56
3,QuartzNet15x5Base-En,?,0.16216216216216217,1701-141760-0000,NeMo,4,0.47118106856942177,233,16.56
4,QuartzNet15x5Base-En,?,0.16216216216216217,1701-141760-0000,NeMo,5,0.46339270658791065,233,16.56
5,stt_en_citrinet_256,?,0.13513513513513514,1701-141760-0000,NeMo,1,0.2372795157134533,233,16.56
6,stt_en_citrinet_256,?,0.13513513513513514,1701-141760-0000,NeMo,2,0.2368903923779726,233,16.56
7,stt_en_citrinet_256,?,0.13513513513513514,1701-141760-0000,NeMo,3,0.22233686037361622,233,16.56
8,stt_en_citrinet_256,?,0.13513513513513514,1701-141760-0000,NeMo,4,0.23312663100659847,233,16.56
9,stt_en_citrinet_256,?,0.13513513513513514,1701-141760-0000,NeMo,5,0.24107754044234753,233,16.56
10,QuartzNet15x5Base-En,?,0.0,1701-141760-0001,NeMo,1,0.27491686306893826,105,6.535
11,QuartzNet15x5Base-En,?,0.0,1701-141760-0001,NeMo,2,0.24861800856888294,105,6.535
12,QuartzNet15x5Base-En,?,0.0,1701-141760-0001,NeMo,3,0.23325545154511929,105,6.535
13,QuartzNet15x5Base-En,?,0.0,1701-141760-0001,NeMo,4,0.26318075507879257,105,6.535
14,QuartzNet15x5Base-En,?,0.0,1701-141760-0001,NeMo,5,0.24808813631534576,105,6.535
15,stt_en_citrinet_256,?,0.05555555555555555,1701-141760-0001,NeMo,1,0.1565769612789154,105,6.535
16,stt_en_citrinet_256,?,0.05555555555555555,1701-141760-0001,NeMo,2,0.15542330406606197,105,6.535
17,stt_en_citrinet_256,?,0.05555555555555555,1701-141760-0001,NeMo,3,0.15721720829606056,105,6.535
18,stt_en_citrinet_256,?,0.05555555555555555,1701-141760-0001,NeMo,4,0.15001678839325905,105,6.535
19,stt_en_citrinet_256,?,0.05555555555555555,1701-141760-0001,NeMo,5,0.15163465775549412,105,6.535
20,QuartzNet15x5Base-En,?,0.11363636363636363,1701-141760-0002,NeMo,1,0.4771587997674942,236,16.56
21,QuartzNet15x5Base-En,?,0.11363636363636363,1701-141760-0002,NeMo,2,0.47876456938683987,236,16.56
22,QuartzNet15x5Base-En,?,0.11363636363636363,1701-141760-0002,NeMo,3,0.4950668178498745,236,16.56
23,QuartzNet15x5Base-En,?,0.11363636363636363,1701-141760-0002,NeMo,4,0.49929539300501347,236,16.56
24,QuartzNet15x5Base-En,?,0.11363636363636363,1701-141760-0002,NeMo,5,0.4810532797127962,236,16.56
25,stt_en_citrinet_256,?,0.11363636363636363,1701-141760-0002,NeMo,1,0.22865600138902664,236,16.56
26,stt_en_citrinet_256,?,0.11363636363636363,1701-141760-0002,NeMo,2,0.2180280964821577,236,16.56
27,stt_en_citrinet_256,?,0.11363636363636363,1701-141760-0002,NeMo,3,0.2768474128097296,236,16.56
28,stt_en_citrinet_256,?,0.11363636363636363,1701-141760-0002,NeMo,4,0.21523329988121986,236,16.56
29,stt_en_citrinet_256,?,0.11363636363636363,1701-141760-0002,NeMo,5,0.2384868562221527,236,16.56
30,QuartzNet15x5Base-En,?,0.05,1701-141760-0003,NeMo,1,0.35279006510972977,103,6.96
31,QuartzNet15x5Base-En,?,0.05,1701-141760-0003,NeMo,2,0.2783908899873495,103,6.96
32,QuartzNet15x5Base-En,?,0.05,1701-141760-0003,NeMo,3,0.27132551185786724,103,6.96
33,QuartzNet15x5Base-En,?,0.05,1701-141760-0003,NeMo,4,0.2955132070928812,103,6.96
34,QuartzNet15x5Base-En,?,0.05,1701-141760-0003,NeMo,5,0.2982133198529482,103,6.96
35,stt_en_citrinet_256,?,0.1,1701-141760-0003,NeMo,1,0.16053576208651066,103,6.96
36,stt_en_citrinet_256,?,0.1,1701-141760-0003,NeMo,2,0.18697411008179188,103,6.96
37,stt_en_citrinet_256,?,0.1,1701-141760-0003,NeMo,3,0.19251258485019207,103,6.96
38,stt_en_citrinet_256,?,0.1,1701-141760-0003,NeMo,4,0.1766951084136963,103,6.96
39,stt_en_citrinet_256,?,0.1,1701-141760-0003,NeMo,5,0.22794511541724205,103,6.96
40,QuartzNet15x5Base-En,?,0.061224489795918366,1701-141760-0004,NeMo,1,0.689268758520484,283,19.89
41,QuartzNet15x5Base-En,?,0.061224489795918366,1701-141760-0004,NeMo,2,0.5676827859133482,283,19.89
42,QuartzNet15x5Base-En,?,0.061224489795918366,1701-141760-0004,NeMo,3,0.6682708989828825,283,19.89
43,QuartzNet15x5Base-En,?,0.061224489795918366,1701-141760-0004,NeMo,4,0.8444395940750837,283,19.89
44,QuartzNet15x5Base-En,?,0.061224489795918366,1701-141760-0004,NeMo,5,0.5591766722500324,283,19.89
45,stt_en_citrinet_256,?,0.10204081632653061,1701-141760-0004,NeMo,1,0.24798959866166115,283,19.89
46,stt_en_citrinet_256,?,0.10204081632653061,1701-141760-0004,NeMo,2,0.25055745244026184,283,19.89
47,stt_en_citrinet_256,?,0.10204081632653061,1701-141760-0004,NeMo,3,0.24400943331420422,283,19.89
48,stt_en_citrinet_256,?,0.10204081632653061,1701-141760-0004,NeMo,4,0.3066353742033243,283,19.89
49,stt_en_citrinet_256,?,0.10204081632653061,1701-141760-0004,NeMo,5,0.3241916801780462,283,19.89
50,QuartzNet15x5Base-En,?,0.07407407407407407,1701-141760-0005,NeMo,1,0.4608995597809553,161,12.685
