,model,num_cores,WER,sample_id,engine,run_id,time,text_len,audio_len
0,quartznet,?,0.06060606060606061,116-288045-0000,NeMo,116-288045-0000-1,0.3310234800010221,182,10.65
1,quartznet,?,0.06060606060606061,116-288045-0000,NeMo,116-288045-0000-2,0.36485374400035653,182,10.65
2,quartznet,?,0.06060606060606061,116-288045-0000,NeMo,116-288045-0000-3,0.23149257700060843,182,10.65
3,quartznet,?,0.06060606060606061,116-288045-0000,NeMo,116-288045-0000-4,0.23310149799908686,182,10.65
4,quartznet,?,0.06060606060606061,116-288045-0000,NeMo,116-288045-0000-5,0.23423834499953955,182,10.65
5,quartznet,?,0.0,116-288045-0001,NeMo,116-288045-0001-1,0.1982103209993511,115,8.635
6,quartznet,?,0.0,116-288045-0001,NeMo,116-288045-0001-2,0.19124706299953687,115,8.635
7,quartznet,?,0.0,116-288045-0001,NeMo,116-288045-0001-3,0.20206279099875246,115,8.635
8,quartznet,?,0.0,116-288045-0001,NeMo,116-288045-0001-4,0.22607242300000507,115,8.635
9,quartznet,?,0.0,116-288045-0001,NeMo,116-288045-0001-5,0.2443590660004702,115,8.635
10,quartznet,?,0.0,116-288045-0002,NeMo,116-288045-0002-1,0.25322621899977094,142,9.625
11,quartznet,?,0.0,116-288045-0002,NeMo,116-288045-0002-2,0.22056173800046963,142,9.625
12,quartznet,?,0.0,116-288045-0002,NeMo,116-288045-0002-3,0.2539781000014045,142,9.625
13,quartznet,?,0.0,116-288045-0002,NeMo,116-288045-0002-4,0.24525722100042913,142,9.625
14,quartznet,?,0.0,116-288045-0002,NeMo,116-288045-0002-5,0.2623990949996369,142,9.625
15,quartznet,?,0.2,116-288045-0003,NeMo,116-288045-0003-1,0.1326192649994482,54,3.66
16,quartznet,?,0.2,116-288045-0003,NeMo,116-288045-0003-2,0.14445209699988482,54,3.66
17,quartznet,?,0.2,116-288045-0003,NeMo,116-288045-0003-3,0.16102291900097043,54,3.66
18,quartznet,?,0.2,116-288045-0003,NeMo,116-288045-0003-4,0.16749351699945692,54,3.66
19,quartznet,?,0.2,116-288045-0003,NeMo,116-288045-0003-5,0.16945611300070595,54,3.66
20,quartznet,?,0.0,116-288045-0004,NeMo,116-288045-0004-1,0.1514717619993462,62,3.72
21,quartznet,?,0.0,116-288045-0004,NeMo,116-288045-0004-2,0.1254517310007941,62,3.72
22,quartznet,?,0.0,116-288045-0004,NeMo,116-288045-0004-3,0.11461692599914386,62,3.72
23,quartznet,?,0.0,116-288045-0004,NeMo,116-288045-0004-4,0.12022385000091163,62,3.72
24,quartznet,?,0.0,116-288045-0004,NeMo,116-288045-0004-5,0.11599367100097879,62,3.72
25,quartznet,?,0.0,116-288045-0005,NeMo,116-288045-0005-1,0.14578250800150272,52,4.995
26,quartznet,?,0.0,116-288045-0005,NeMo,116-288045-0005-2,0.14086614000007103,52,4.995
27,quartznet,?,0.0,116-288045-0005,NeMo,116-288045-0005-3,0.13908486199943582,52,4.995
28,quartznet,?,0.0,116-288045-0005,NeMo,116-288045-0005-4,0.14081036200150265,52,4.995
29,quartznet,?,0.0,116-288045-0005,NeMo,116-288045-0005-5,0.1401399730002595,52,4.995
30,quartznet,?,0.0,116-288045-0006,NeMo,116-288045-0006-1,0.11989880600049219,38,3.525
31,quartznet,?,0.0,116-288045-0006,NeMo,116-288045-0006-2,0.11425994799901673,38,3.525
32,quartznet,?,0.0,116-288045-0006,NeMo,116-288045-0006-3,0.11282456200024171,38,3.525
33,quartznet,?,0.0,116-288045-0006,NeMo,116-288045-0006-4,0.11581118300091475,38,3.525
34,quartznet,?,0.0,116-288045-0006,NeMo,116-288045-0006-5,0.1151952349991916,38,3.525
35,quartznet,?,0.42857142857142855,116-288045-0007,NeMo,116-288045-0007-1,0.1029712979998294,40,2.67
36,quartznet,?,0.42857142857142855,116-288045-0007,NeMo,116-288045-0007-2,0.09675981500004127,40,2.67
37,quartznet,?,0.42857142857142855,116-288045-0007,NeMo,116-288045-0007-3,0.09665408399996522,40,2.67
38,quartznet,?,0.42857142857142855,116-288045-0007,NeMo,116-288045-0007-4,0.09726858199974231,40,2.67
39,quartznet,?,0.42857142857142855,116-288045-0007,NeMo,116-288045-0007-5,0.09757122700102627,40,2.67
40,quartznet,?,0.07142857142857142,116-288045-0008,NeMo,116-288045-0008-1,0.15605065899944748,76,5.165
41,quartznet,?,0.07142857142857142,116-288045-0008,NeMo,116-288045-0008-2,0.1481878449994838,76,5.165
42,quartznet,?,0.07142857142857142,116-288045-0008,NeMo,116-288045-0008-3,0.14661105999948632,76,5.165
43,quartznet,?,0.07142857142857142,116-288045-0008,NeMo,116-288045-0008-4,0.1562479770000209,76,5.165
44,quartznet,?,0.07142857142857142,116-288045-0008,NeMo,116-288045-0008-5,0.14862455399997998,76,5.165
45,quartznet,?,0.0,116-288045-0009,NeMo,116-288045-0009-1,0.1092499719998159,25,3.07
46,quartznet,?,0.0,116-288045-0009,NeMo,116-288045-0009-2,0.10685377700065146,25,3.07
47,quartznet,?,0.0,116-288045-0009,NeMo,116-288045-0009-3,0.11192246099926706,25,3.07
48,quartznet,?,0.0,116-288045-0009,NeMo,116-288045-0009-4,0.1099189300002763,25,3.07
49,quartznet,?,0.0,116-288045-0009,NeMo,116-288045-0009-5,0.10913772599997174,25,3.07
50,quartznet,?,0.0,116-288045-0010,NeMo,116-288045-0010-1,0.1199125080001977,34,3.365
51,quartznet,?,0.0,116-288045-0010,NeMo,116-288045-0010-2,0.11609748399860109,34,3.365
52,quartznet,?,0.0,116-288045-0010,NeMo,116-288045-0010-3,0.11373960600030841,34,3.365
53,quartznet,?,0.0,116-288045-0010,NeMo,116-288045-0010-4,0.11531810999986192,34,3.365
54,quartznet,?,0.0,116-288045-0010,NeMo,116-288045-0010-5,0.11379537399989204,34,3.365
55,quartznet,?,0.05,116-288045-0011,NeMo,116-288045-0011-1,0.23059968699999445,102,9.11
56,quartznet,?,0.05,116-288045-0011,NeMo,116-288045-0011-2,0.23007090399914887,102,9.11
57,quartznet,?,0.05,116-288045-0011,NeMo,116-288045-0011-3,0.22576900300009584,102,9.11
58,quartznet,?,0.05,116-288045-0011,NeMo,116-288045-0011-4,0.2251379810004437,102,9.11
59,quartznet,?,0.05,116-288045-0011,NeMo,116-288045-0011-5,0.22642640999947616,102,9.11
60,quartznet,?,0.09090909090909091,116-288045-0012,NeMo,116-288045-0012-1,0.15530725300050108,57,4.895
61,quartznet,?,0.09090909090909091,116-288045-0012,NeMo,116-288045-0012-2,0.1455158129992924,57,4.895
62,quartznet,?,0.09090909090909091,116-288045-0012,NeMo,116-288045-0012-3,0.14615130000129284,57,4.895
63,quartznet,?,0.09090909090909091,116-288045-0012,NeMo,116-288045-0012-4,0.15088753899908625,57,4.895
64,quartznet,?,0.09090909090909091,116-288045-0012,NeMo,116-288045-0012-5,0.14520990699929825,57,4.895
65,quartznet,?,0.0,116-288045-0013,NeMo,116-288045-0013-1,0.14964960500037705,68,4.895
66,quartznet,?,0.0,116-288045-0013,NeMo,116-288045-0013-2,0.14528933700057678,68,4.895
67,quartznet,?,0.0,116-288045-0013,NeMo,116-288045-0013-3,0.17068335100157128,68,4.895
68,quartznet,?,0.0,116-288045-0013,NeMo,116-288045-0013-4,0.1575831139998627,68,4.895
69,quartznet,?,0.0,116-288045-0013,NeMo,116-288045-0013-5,0.15583292100018298,68,4.895
70,quartznet,?,0.0,116-288045-0014,NeMo,116-288045-0014-1,0.08953266299977258,12,1.36
71,quartznet,?,0.0,116-288045-0014,NeMo,116-288045-0014-2,0.08057589399868448,12,1.36
72,quartznet,?,0.0,116-288045-0014,NeMo,116-288045-0014-3,0.08109195500037458,12,1.36
73,quartznet,?,0.0,116-288045-0014,NeMo,116-288045-0014-4,0.0821580179999728,12,1.36
74,quartznet,?,0.0,116-288045-0014,NeMo,116-288045-0014-5,0.08186542099974758,12,1.36
75,quartznet,?,0.16666666666666666,116-288045-0015,NeMo,116-288045-0015-1,0.12122571800136939,37,3.01
76,quartznet,?,0.16666666666666666,116-288045-0015,NeMo,116-288045-0015-2,0.11412843600010092,37,3.01
77,quartznet,?,0.16666666666666666,116-288045-0015,NeMo,116-288045-0015-3,0.1157704699999158,37,3.01
78,quartznet,?,0.16666666666666666,116-288045-0015,NeMo,116-288045-0015-4,0.11509959700015315,37,3.01
79,quartznet,?,0.16666666666666666,116-288045-0015,NeMo,116-288045-0015-5,0.11428102500030946,37,3.01
80,quartznet,?,0.09090909090909091,116-288045-0016,NeMo,116-288045-0016-1,0.34159311700022954,175,11.9
81,quartznet,?,0.09090909090909091,116-288045-0016,NeMo,116-288045-0016-2,0.3530895010007953,175,11.9
82,quartznet,?,0.09090909090909091,116-288045-0016,NeMo,116-288045-0016-3,0.33771969600093144,175,11.9
83,quartznet,?,0.09090909090909091,116-288045-0016,NeMo,116-288045-0016-4,0.32485840799927246,175,11.9
84,quartznet,?,0.09090909090909091,116-288045-0016,NeMo,116-288045-0016-5,0.4260840030001418,175,11.9
85,quartznet,?,0.0,116-288045-0017,NeMo,116-288045-0017-1,0.1027647020000586,19,1.825
86,quartznet,?,0.0,116-288045-0017,NeMo,116-288045-0017-2,0.0962439329996414,19,1.825
87,quartznet,?,0.0,116-288045-0017,NeMo,116-288045-0017-3,0.09387561299990921,19,1.825
88,quartznet,?,0.0,116-288045-0017,NeMo,116-288045-0017-4,0.09395041499919898,19,1.825
89,quartznet,?,0.0,116-288045-0017,NeMo,116-288045-0017-5,0.09420999000030861,19,1.825
90,quartznet,?,0.0,116-288045-0018,NeMo,116-288045-0018-1,0.15115689800040855,38,4.21
91,quartznet,?,0.0,116-288045-0018,NeMo,116-288045-0018-2,0.14479499899971415,38,4.21
92,quartznet,?,0.0,116-288045-0018,NeMo,116-288045-0018-3,0.15079727599913895,38,4.21
93,quartznet,?,0.0,116-288045-0018,NeMo,116-288045-0018-4,0.14317469100024027,38,4.21
94,quartznet,?,0.0,116-288045-0018,NeMo,116-288045-0018-5,0.1474368470007903,38,4.21
95,quartznet,?,0.0,116-288045-0019,NeMo,116-288045-0019-1,0.13778014499985147,28,3.505
96,quartznet,?,0.0,116-288045-0019,NeMo,116-288045-0019-2,0.1300221239998791,28,3.505
97,quartznet,?,0.0,116-288045-0019,NeMo,116-288045-0019-3,0.1303286490001483,28,3.505
98,quartznet,?,0.0,116-288045-0019,NeMo,116-288045-0019-4,0.1281595960008417,28,3.505
99,quartznet,?,0.0,116-288045-0019,NeMo,116-288045-0019-5,0.1300627920008992,28,3.505
100,quartznet,?,0.0,116-288045-0020,NeMo,116-288045-0020-1,0.11638483299975633,33,2.575
101,quartznet,?,0.0,116-288045-0020,NeMo,116-288045-0020-2,0.13031637399944884,33,2.575
102,quartznet,?,0.0,116-288045-0020,NeMo,116-288045-0020-3,0.11275663599917607,33,2.575
103,quartznet,?,0.0,116-288045-0020,NeMo,116-288045-0020-4,0.11212740899827622,33,2.575
104,quartznet,?,0.0,116-288045-0020,NeMo,116-288045-0020-5,0.1142606440007512,33,2.575
105,quartznet,?,0.2222222222222222,116-288045-0021,NeMo,116-288045-0021-1,0.2869214980000834,150,9.99
106,quartznet,?,0.2222222222222222,116-288045-0021,NeMo,116-288045-0021-2,0.287097051001183,150,9.99
107,quartznet,?,0.2222222222222222,116-288045-0021,NeMo,116-288045-0021-3,0.2822998249994271,150,9.99
108,quartznet,?,0.2222222222222222,116-288045-0021,NeMo,116-288045-0021-4,0.30011147299956065,150,9.99
109,quartznet,?,0.2222222222222222,116-288045-0021,NeMo,116-288045-0021-5,0.3112100170001213,150,9.99
110,quartznet,?,0.075,116-288045-0022,NeMo,116-288045-0022-1,0.3758607090003352,219,13.13
111,quartznet,?,0.075,116-288045-0022,NeMo,116-288045-0022-2,0.3533969350010011,219,13.13
112,quartznet,?,0.075,116-288045-0022,NeMo,116-288045-0022-3,0.39207147100023576,219,13.13
113,quartznet,?,0.075,116-288045-0022,NeMo,116-288045-0022-4,0.36036883700035105,219,13.13
114,quartznet,?,0.075,116-288045-0022,NeMo,116-288045-0022-5,0.3575113910010259,219,13.13
115,quartznet,?,0.08333333333333333,116-288045-0023,NeMo,116-288045-0023-1,0.17669537700021465,65,4.635
116,quartznet,?,0.08333333333333333,116-288045-0023,NeMo,116-288045-0023-2,0.1677041189996089,65,4.635
117,quartznet,?,0.08333333333333333,116-288045-0023,NeMo,116-288045-0023-3,0.1588119080006436,65,4.635
118,quartznet,?,0.08333333333333333,116-288045-0023,NeMo,116-288045-0023-4,0.16035140799976944,65,4.635
119,quartznet,?,0.08333333333333333,116-288045-0023,NeMo,116-288045-0023-5,0.16155695500128786,65,4.635
120,quartznet,?,0.0,116-288045-0024,NeMo,116-288045-0024-1,0.14031049400000484,44,3.4549375
121,quartznet,?,0.0,116-288045-0024,NeMo,116-288045-0024-2,0.133619144999102,44,3.4549375
122,quartznet,?,0.0,116-288045-0024,NeMo,116-288045-0024-3,0.13315734299976612,44,3.4549375
123,quartznet,?,0.0,116-288045-0024,NeMo,116-288045-0024-4,0.1357329150014266,44,3.4549375
124,quartznet,?,0.0,116-288045-0024,NeMo,116-288045-0024-5,0.1342843439997523,44,3.4549375
125,quartznet,?,0.0,116-288045-0025,NeMo,116-288045-0025-1,0.2117789650001214,119,6.4050625
126,quartznet,?,0.0,116-288045-0025,NeMo,116-288045-0025-2,0.20239186599974346,119,6.4050625
127,quartznet,?,0.0,116-288045-0025,NeMo,116-288045-0025-3,0.2026092289997905,119,6.4050625
128,quartznet,?,0.0,116-288045-0025,NeMo,116-288045-0025-4,0.20340273799956776,119,6.4050625
129,quartznet,?,0.0,116-288045-0025,NeMo,116-288045-0025-5,0.199119143999269,119,6.4050625
130,quartznet,?,0.1,116-288045-0026,NeMo,116-288045-0026-1,0.14811378800004604,50,3.74
131,quartznet,?,0.1,116-288045-0026,NeMo,116-288045-0026-2,0.14022444599868322,50,3.74
132,quartznet,?,0.1,116-288045-0026,NeMo,116-288045-0026-3,0.14497563000077207,50,3.74
133,quartznet,?,0.1,116-288045-0026,NeMo,116-288045-0026-4,0.14438098199934757,50,3.74
